id,slug,name,is_active,module_exists,reason_code,reason_detail,recommended_action,source_type,integration_method,crawl_frequency,expected_event_count,health_tags,active_months,last_crawled_at,last_crawled_age_days,owner_portal_id,url
733,atlanta-food-wine-festival,Atlanta Food & Wine Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlfoodandwinefestival.com
711,atlanta-fringe-festival,Atlanta Fringe Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantafringe.org
738,atlanta-greek-festival,Atlanta Greek Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,0,"['festival-structural', 'no-standalone-crawler']",,2026-02-16T05:39:37.25839+00:00,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantagreekfestival.org
763,atlanta-hawks-home-opener,Atlanta Hawks Home Opener,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.nba.com/hawks
729,atlanta-home-show,Atlanta Home Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantahomeshow.com
767,atlanta-horror-film-fest,Atlanta Horror Film Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantahorrorfilmfest.com
732,atlanta-ice-cream-festival,Atlanta Ice Cream Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantaicecreamfestival.com
594,atlanta-jazz-fest,Atlanta Jazz Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantafestivals.com
735,atlanta-jewish-film-festival,Atlanta Jewish Film Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.ajff.org
656,atlanta-korean-festival,Atlanta Korean Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.koreanfestivalfoundation.com
659,atlanta-mac-cheese-fest,Atlanta Mac & Cheese Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://macandcheesefestival.com/
586,atlanta-maker-faire,Atlanta Mini Maker Faire,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://makerfaireatl.com
777,atlanta-marathon,Publix Atlanta Marathon,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantatrackclub.org
650,atlanta-model-train-show,Atlanta Model Train Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.cofga.org/
701,atlanta-orchid-show,Atlanta Orchid Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantaorchidsociety.org/atlanta-orchid-show/
587,atlanta-pen-show,Atlanta Pen Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantapenshow.info
695,atlanta-pizza-festival,Atlanta Pizza Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://uspizzafestivals.ticketsauce.com/e/atlanta-pizza-festival
